 AA, 365,  ZIP, 635
 AA, 468,  ZIP, 532
 AA, 531,  ZIP, 469
 AA, 545,  ZIP, 455
 AA, 602,  ZIP, 398
 AA, 603,  ZIP, 397
 AA, 645,  ZIP, 355
 AA, 693,  ZIP, 307
 AA, 705,  ZIP, 295
 AA, 679,  ZIP, 321
 AA, 774,  ZIP, 226
 AA, 803,  ZIP, 197
 AA, 849,  ZIP, 151
 AA, 863,  ZIP, 137
 AA, 851,  ZIP, 149
 AA, 797,  ZIP, 203
 AA, 800,  ZIP, 200
 AA, 740,  ZIP, 260
 AA, 643,  ZIP, 357
 ZIC, 441,  ZIP, 559
 ZIC, 467,  ZIP, 533
 ZIC, 469,  ZIP, 531
 ZIC, 436,  ZIP, 564
 ZIC, 435,  ZIP, 565
 ZIC, 309,  ZIP, 691
 ZIC, 291,  ZIP, 709
 ZIC, 239,  ZIP, 761
 ZIC, 213,  ZIP, 787
 ZIC, 161,  ZIP, 839
 ZIC, 148,  ZIP, 852
 ZIC, 90,  ZIP, 910
 ZIC, 78,  ZIP, 922
 ZIC, 89,  ZIP, 911
 ZIC, 64,  ZIP, 936
 ZIC, 74,  ZIP, 926
 ZIC, 104,  ZIP, 896
 ZIC, 146,  ZIP, 854
 ZIC, 281,  ZIP, 719
 GDX, 530,  ZIP, 470
 GDX, 561,  ZIP, 439
 GDX, 513,  ZIP, 487
 GDX, 308,  ZIP, 692
 GDX, 244,  ZIP, 756
 GDX, 359,  ZIP, 641
 GDX, 281,  ZIP, 719
 GDX, 313,  ZIP, 687
 GDX, 407,  ZIP, 593
 GDX, 496,  ZIP, 504
 GDX, 442,  ZIP, 558
 GDX, 540,  ZIP, 460
 GDX, 635,  ZIP, 365
 GDX, 707,  ZIP, 293
 GDX, 687,  ZIP, 313
 GDX, 740,  ZIP, 260
 GDX, 724,  ZIP, 276
 GDX, 664,  ZIP, 336
 GDX, 595,  ZIP, 405
